"","artist","genres","image","popularity","followers","language"
"81","Woro Widowati","['dangdut koplo', 'javanese dangdut', 'lagu jawa']","https://i.scdn.co/image/ab6761610000e5eb3c9d6e34bdfcd6e53f87cee6",56,649807,"id"
"82","Devano","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5eb7183497b4e0bf26a66bad1bd",42,646396,"id"
"83","Arsy Widianto","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5eb44001c5c497b1a02203e701b",63,644079,"id"
"84","Jikustik","['indonesian pop', 'indonesian pop rock']","https://i.scdn.co/image/cbd6623e251e29ff38140b68941e4d8f8bb73da9",47,602281,"id"
"85","Yeni Inka","['dangdut koplo', 'lagu jawa']","https://i.scdn.co/image/ab67616d0000b27364ce64f3c911f83e0333eecb",59,597981,"id"
"86","Killing Me Inside","['bandung indie', 'indonesian emo', 'indonesian pop punk', 'indonesian rock']","https://i.scdn.co/image/ab67616d0000b2738440172fb2bcb6a68fd297e4",48,575556,"id"
"87","Cokelat","['classic indonesian rock', 'indonesian alternative rock', 'indonesian pop', 'indonesian pop rock']","https://i.scdn.co/image/ab6761610000e5eba498277004f6ee0317346878",47,560217,"id"
"88","Tangga","['indonesian pop']","https://i.scdn.co/image/ab67616d0000b273b0ce52706ab700bfaae3466b",50,547451,"id"
"89","Juicy Luicy","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5ebbcb780f4924009e8b2c1abe4",67,539425,"id"
"90","Marcell","['indonesian jazz', 'indonesian pop', 'jazz pop']","https://i.scdn.co/image/ab6761610000e5eb934acaabb4f153a9ccc84a2f",53,536642,"id"
"91","Nosstress","['indonesian folk', 'indonesian folk pop', 'indonesian indie']","https://i.scdn.co/image/ab6761610000e5eb55eeddf179ec42e95aa17ea1",55,527427,"id"
"92","TheOvertunes","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5eb3665093ae8871ef038edca54",56,521595,"id"
"93","Siti Badriah","['dangdut', 'dangdut koplo', 'dangdut remix']","https://i.scdn.co/image/ab67616d0000b273b880a4bdf516b576a669080d",42,489372,"id"
"94","Adera","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5ebf6cc0d7858be84ed4d387a77",52,483321,"id"
"95",".Feast","['indonesian indie']","https://i.scdn.co/image/ab6761610000e5eb36494b48ba193040b7de8d51",51,476232,"id"
"96","JKT48","['indonesian idol pop']","https://i.scdn.co/image/ab6761610000e5ebb048376ac8347c2f4aa2d731",63,468141,"id"
"97","Dhyo Haw","['indonesian reggae']","https://i.scdn.co/image/ab6761610000e5eb2ae26e1a98041d11ba4302cf",52,465804,"id"
"98","Ghea Indrawari","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5eb941c9c92827d81b1e5688bc6",56,441098,"id"
"99","raissa anggiani","['indonesian lo-fi pop', 'indonesian pop']","https://i.scdn.co/image/ab6761610000e5eb3caa88907c6be25fb118e510",67,440068,"id"
"100","GAC (Gamaliél Audrey Cantika)","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5eb9dbaebf0ffd53fc3493b6f8d",45,423189,"id"
"101","Adhitia Sofyan","['indonesian folk', 'indonesian folk pop', 'indonesian indie', 'indonesian singer-songwriter']","https://i.scdn.co/image/ab6761610000e5eb4861d09e73a8e2d35decd8e9",50,389436,"id"
"102","Danilla","['indonesian folk', 'indonesian indie', 'indonesian jazz', 'indonesian singer-songwriter']","https://i.scdn.co/image/ab6761610000e5eb1b171b8ed7f58835e36cff9a",48,388710,"id"
"103","AVIWKILA","['indonesian pop', 'javanese dangdut']","https://i.scdn.co/image/ab6761610000e5eb1678776aa5dae1c4609708d5",43,376483,"id"
"104","For Revenge","['bandung indie', 'indonesian emo', 'indonesian post-hardcore']","https://i.scdn.co/image/ab6761610000e5eb90bea89a7bd6082348d8b67e",67,374949,"id"
"105","Audy","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5eb57e03ee8e4a5acd8415f8cd3",62,370069,"id"
"106","Endah N Rhesa","['indonesian folk', 'indonesian folk pop', 'indonesian indie']","https://i.scdn.co/image/ab6761610000e5ebc6abfa2024116abd903c6d59",43,360145,"id"
"107","Pasto","['indonesian pop', 'indonesian pop rock']","https://i.scdn.co/image/ab67616d0000b273426d703b5ea2c33e7dbb5f57",47,347186,"id"
"108","Sal Priadi","['indonesian indie', 'malang indie']","https://i.scdn.co/image/ab6761610000e5ebf159c2b52eb7884793807a24",62,347017,"id"
"109","Barasuara","['indonesian indie', 'indonesian indie rock']","https://i.scdn.co/image/ab6761610000e5ebc07808e1899349d0e73da835",41,343351,"id"
"110","Andien","['indonesian jazz', 'indonesian pop']","https://i.scdn.co/image/ab6761610000e5eb16a73fb9eb891393b92144cc",49,340929,"id"
"111","Dere","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5ebd376a4e2962ebf9e78beb2b5",51,328474,"id"
"112","Raim Laode","[]","https://i.scdn.co/image/ab6761610000e5eb8f5fe38a2d25be089bf281e4",68,325407,"id"
"113","Pee Wee Gaskins","['indonesian emo', 'indonesian pop punk']","https://i.scdn.co/image/ab6761610000e5eb356ac421466db73942b93aa4",50,324537,"id"
"114","Rio Febrian","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5eb1fa026dd25c2988d5e93eec2",40,317355,"id"
"115","Ello","['indonesian jazz', 'indonesian pop', 'indonesian pop rock']","https://i.scdn.co/image/ab67616d0000b273048d6a77531f227a9b9cf324",47,304194,"id"
