"","artist","genres","image","popularity","followers","language"
"222","Aliando Syarief","[]","https://i.scdn.co/image/ab67616d0000b27308fa2684a3b1bd2adc67b84f",0,11918,"id"
"223","Karina Salim","[]","https://i.scdn.co/image/ab67616d0000b273786e7a7dff8fb768e809a872",18,10567,"id"
"224","Ben Sihombing","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5eb0c340df3c9b8f1b4dc851eb8",43,10178,"id"
"225","T-Five","['classic indo pop', 'indonesian pop rock', 'indonesian r&b']","https://i.scdn.co/image/ab6761610000e5ebcee3d77a1e6b74c22f087d9c",28,10108,"id"
"226","Armand Maulana","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5eb3ebe06863c4356700df5e628",25,9745,"id"
"227","Trio Lestari","['indonesian city pop', 'indonesian jazz']","https://i.scdn.co/image/ab6761610000e5eb56c1b2ab6bfd5f50b4992e37",22,9721,"id"
"228","Khifnu","['indonesian folk pop']","https://i.scdn.co/image/ab6761610000e5ebff238f8da8779f0cffc3399c",34,9658,"id"
"229","L.Y.O.N","['indonesian city pop']","https://i.scdn.co/image/ab6761610000e5eb29af8d1fdf537547ce14c923",29,9430,"id"
"230","Metha Zulia","['indonesian folk pop']","https://i.scdn.co/image/ab67616d0000b2733ce16f42a444274a9839c55d",28,9427,"id"
"231","Iwan Fals & NOAH","[]","",21,8791,"id"
"232","Radhini","['indonesian pop', 'indonesian r&b']","https://i.scdn.co/image/ab6761610000e5eb06b213d6a468d4632c987b67",13,8287,"id"
"233","Soundwave","['indonesian edm']","https://i.scdn.co/image/ab6761610000e5eb1f7899940dd60701837a09cb",30,8191,"id"
"234","Caitlin Halderman","[]","https://i.scdn.co/image/ab6761610000e5eb428f5491ff91f5fd3fb13ffc",35,8130,"id"
"235","Gery Gany","[]","https://i.scdn.co/image/ab6761610000e5ebf7082ac8a40ceaa9c1ce393e",53,7402,"id"
"236","Rivan","[]","https://i.scdn.co/image/ab6761610000e5ebac1149f2058d3c8eb1394fbc",16,7197,"id"
"237","David Bayu","[]","https://i.scdn.co/image/ab6761610000e5ebefee5b1654abecd054821c93",41,6411,"id"
"238","Nino","['indonesian folk pop']","https://i.scdn.co/image/ab6761610000e5eb23fce3d8a15bce60cdc0ecb9",29,6103,"id"
"239","Ddhear","['indonesian indie']","https://i.scdn.co/image/ab67616d0000b273c27d9c39151a8e908a32b64c",4,5950,"id"
"240","Ghaitsa Kenang","['indonesian folk pop', 'pontianak indie']","https://i.scdn.co/image/ab6761610000e5eb88b6f33f97e453f01b26df38",14,5920,"id"
"241","Dhika Fawaz","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5ebf668a7fbf97d87396a205e74",21,5113,"id"
"242","Delon","['indonesian worship']","https://i.scdn.co/image/ab67616d0000b27321bf4db1ed0c75ad73c1c969",44,4100,"id"
"243","Shae","['malaysian hip hop']","https://i.scdn.co/image/ab6761610000e5eb091823d5ec5239b888b777e4",32,3739,"id"
"244","Sandy Canester","['indonesian folk pop']","https://i.scdn.co/image/ab6761610000e5eb543641bed7193fe7a47a15b3",27,3736,"id"
"245","Adinda Shalahita","['indonesian jazz']","https://i.scdn.co/image/ab6761610000e5ebdf44c083cfeb42fc3669dd00",15,3698,"id"
"246","Classmate Journal","['indonesian indie']","https://i.scdn.co/image/ab6761610000e5eb816a8bc76bc466dd1b96ee0d",6,2841,"id"
"247","Alika","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5eb6eb766ebe47e398145763c1b",30,2074,"id"
"248","Anda Perdana","[]","https://i.scdn.co/image/ab6761610000e5ebf047d613af6e11d058ed0aad",42,1917,"id"
"249","Punxgoaran","[]","https://i.scdn.co/image/ab6761610000e5eb3654fee45fede4500edfd3a4",20,1887,"id"
"250","Vadi Akbar","[]","https://i.scdn.co/image/ab6761610000e5eb1ade6695a8a5d4e1978fb9aa",11,1680,"id"
"251","Ariel","[]","https://i.scdn.co/image/ab67616d0000b273feb11d4a5c7f73195f97d751",27,1635,"id"
"252","Andre Dinuth","['indonesian blues', 'indonesian jazz']","https://i.scdn.co/image/ab6761610000e5eb2d9eeaf3585bcc4d40322080",8,1606,"id"
"253","Idris Sardi","[]","https://i.scdn.co/image/ab67616d0000b2730128280c2b042610c956a5b3",19,1452,"id"
"254","Six Sounds Project (S.S.P.)","[]","https://i.scdn.co/image/ab67616d0000b273ea4d8baa8d6f19de67dd5c2f",9,1250,"id"
"255","Maruli Tampubolon","[]","https://i.scdn.co/image/ab6761610000e5eb0e861328d962b93c330cb0ee",19,1098,"id"
"256","Akhdiyat Duta Modjo","[]","",21,971,"id"
"257","DUO JEREMY","[]","https://i.scdn.co/image/ab6761610000e5eb1ff4eeb1f478c47fa0e34694",25,923,"id"
"258","Laidthis Nite","['indonesian indie pop']","https://i.scdn.co/image/ab6761610000e5ebb4825935011afc356200c081",7,722,"id"
"259","Nowela","[]","https://i.scdn.co/image/854e3526d3aa41beb3b7375d0b3b87341194fc5c",9,590,"id"
"260","Tuty Wibowo","[]","https://i.scdn.co/image/ab67616d0000b273f01de16827a45e96f33094fa",30,534,"id"
"261","Tiwu Rayie","[]","https://i.scdn.co/image/ab67616d0000b27371f1e8c1fc5b60653e80c2bb",3,288,"id"
"262","Chilla Kiana","[]","https://i.scdn.co/image/ab6761610000e5eb4c022a8e62cc84dd11fd739e",6,285,"id"
"263","Dody BJ","[]","https://i.scdn.co/image/ab67616d0000b27356e8793bc53d9d51f88aa20b",17,144,"id"
"264","The Groove","[]","https://i.scdn.co/image/ab6761610000e5ebe400907c2a1aa0d1e40962b9",18,143,"id"
"265","ODDS","[]","https://i.scdn.co/image/ab67616d0000b273f158681dd9b52ed97531d887",0,87,"id"
"266","id
66Dqcpogz4BwHrw6caEJVg    Sore
66Dqcpogz4BwHrw6caEJVg    Sore
Name: artist, dtype: object",NA,NA,NA,NA,"id"
